Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY,rayon_de_courbure,rayon_de_courbure_clipped
72.0,205.5788,436007.2774,296149.9937,18.09686134,50.52891472,7194.455137928658,250.00516283577699
73.0,205.5892,436008.1028,296149.4292,18.09687308,50.52890974,17715.523462391986,250.00516283577699
74.0,205.6,436008.9283,296148.8647,18.09688483,50.52890475,12114.844945340397,250.00516283577699
75.0,205.5964,436009.7538,296148.3003,18.09689658,50.52889976,7194.453564587866,250.00516283577699
76.0,205.5931,436010.5792,296147.7358,18.09690832,50.52889478,7194.455137928658,250.00516283577699
77.0,205.6095,436011.4047,296147.1714,18.09692007,50.52888979,12114.849405336814,250.00516283577699
78.0,205.6098,436012.2302,296146.6069,18.09693181,50.5288848,38312.55909521496,250.00516283577699
79.0,205.61,436013.0556,296146.0425,18.09694356,50.52887982,12.866455297780407,12.866455297780407
80.0,205.623,436013.8336,296145.4168,18.09695464,50.52887427,23.911812931531834,23.911812931531834
81.0,205.5924,436014.586,296144.7581,18.09696537,50.52886843,216.95792083212262,216.95792083212262
82.0,205.6214,436015.3354,296144.0959,18.09697606,50.52886256,472.2627929507172,250.00516283577699
83.0,205.6126,436016.0833,296143.4322,18.09698673,50.52885667,1744.9123288384237,250.00516283577699
84.0,205.6192,436016.8309,296142.768,18.09699739,50.52885078,2361.2022525837883,250.00516283577699
85.0,205.63,436017.5782,296142.1035,18.09700805,50.52884488,415.2353405050395,250.00516283577699
86.0,205.6189,436018.3271,296141.4408,18.09701873,50.528839,1563.6265744106472,250.00516283577699
87.0,205.6315,436019.0764,296140.7786,18.09702942,50.52883313,243.26096841860345,243.26096841860345
88.0,205.6346,436019.823,296140.1133,18.09704007,50.52882722,786.9178696858698,250.00516283577699
89.0,205.65,436020.5687,296139.4471,18.09705071,50.52882131,167.95645685777814,167.95645685777814
90.0,205.6539,436021.3105,296138.7764,18.09706129,50.52881536,708.0019178979486,250.00516283577699
91.0,205.6591,436022.0513,296138.1047,18.09707186,50.5288094,392.23821289018036,250.00516283577699
92.0,205.6566,436022.7904,296137.4311,18.0970824,50.52880342,1769.6070997010863,250.00516283577699
93.0,205.6329,436023.5291,296136.7571,18.09709294,50.52879744,381.2410166275216,250.00516283577699
94.0,205.6554,436024.2661,296136.0811,18.09710346,50.52879144,2855.7646057995407,250.00516283577699
95.0,205.6754,436025.0028,296135.4049,18.09711397,50.52878544,80.76856126789744,80.76856126789744
96.0,205.6791,436025.731,296134.7197,18.09712437,50.52877936,1080.8268340208951,250.00516283577699
97.0,205.6897,436026.4587,296134.0337,18.09713475,50.52877327,14578.809332805493,250.00516283577699
98.0,205.6661,436027.1863,296133.3477,18.09714514,50.52876717,14575.64540635364,250.00516283577699
