n moteur,m corr,csp
0.0,2.37,301.0
1.0,2.37,301.0
2.0006724949562877,2.37,301.0
3.0013449899125755,2.37,301.0
4.002017484868864,2.37,301.0
5.002689979825151,2.37,301.0
6.003362474781438,2.37,301.0
7.004034969737726,2.37,301.0
8.004707464694015,2.37,301.0
9.005379959650302,2.37,301.0
10.00605245460659,2.37,301.0
11.006724949562877,2.37,301.0
12.007397444519166,2.37,301.0
13.008069939475453,2.37,301.0
14.00874243443174,2.37,301.0
15.00941492938803,2.37,301.0
16.010087424344317,2.37,301.0
17.010759919300604,2.37,301.0
18.01143241425689,2.37,301.0
19.01210490921318,2.37,301.0
20.012777404169466,2.37,301.0
21.013449899125753,2.37,301.0
22.014122394082044,2.37,301.0
23.01479488903833,2.37,301.0
24.01546738399462,2.37,301.0
25.016139878950906,2.37,301.0
26.016812373907193,2.37,301.0
27.01748486886348,2.37,301.0
28.018157363819768,2.37,301.0
29.01882985877606,2.37,301.0
30.019502353732346,2.37,301.0
31.020174848688633,2.37,301.0
32.02084734364492,2.37,301.0
33.02151983860121,2.37,301.0
34.0221923335575,2.37,301.0
35.02286482851378,2.37,301.0
36.02353732347007,2.37,301.0
37.02420981842636,2.37,301.0
38.02488231338265,2.37,301.0
39.02555480833893,2.37,301.0
40.02622730329522,2.37,301.0
41.026899798251506,2.37,301.0
42.0275722932078,2.37,301.0
43.02824478816409,2.37,301.0
44.02891728312037,2.37,301.0
45.02958977807666,2.37,301.0
46.030262273032946,2.37,301.0
47.03093476798924,2.37,301.0
48.03160726294552,2.37,301.0
49.03227975790181,2.37,301.0
50.0329522528581,2.37,301.0
51.033624747814386,2.37,301.0
52.03429724277068,2.37,301.0
53.03496973772696,2.37,301.0
54.03564223268325,2.37,301.0
55.036314727639535,2.37,301.0
56.036987222595826,2.37,301.0
57.03765971755212,2.37,301.0
58.0383322125084,2.37,301.0
59.03900470746469,2.37,301.0
60.039677202420975,2.37,301.0
61.040349697377266,2.37,301.0
62.04102219233355,2.37,301.0
63.04169468728984,2.37,301.0
64.04236718224612,2.37,301.0
65.04303967720242,2.37,301.0
66.0437121721587,2.37,301.0
67.044384667115,2.37,301.0
68.04505716207127,2.37,301.0
69.04572965702756,2.37,301.0
70.04640215198386,2.37,301.0
71.04707464694015,2.37,301.0
72.04774714189642,2.37,301.0
73.04841963685271,2.37,301.0
74.049092131809,2.37,301.0
75.0497646267653,2.37,301.0
76.05043712172159,2.37,301.0
77.05110961667786,2.37,301.0
78.05178211163415,2.37,301.0
79.05245460659044,2.37,301.0
80.05312710154674,2.37,301.0
81.05379959650301,2.37,301.0
82.0544720914593,2.37,301.0
83.0551445864156,2.37,301.0
84.05581708137188,2.37,301.0
85.05648957632818,2.37,301.0
86.05716207128445,2.37,301.0
87.05783456624074,2.37,301.0
88.05850706119703,2.37,301.0
89.05917955615332,2.37,301.0
90.05985205110962,2.37,301.0
91.06052454606589,2.37,301.0
92.06119704102218,2.37,301.0
93.06186953597847,2.37,301.0
94.06254203093476,2.37,301.0
95.06321452589104,2.37,301.0
96.06388702084733,2.37,301.0
97.06455951580362,2.37,301.0
98.06523201075991,2.37,301.0
99.0659045057162,2.37,301.0
100.06657700067248,2.37,301.0
101.06724949562877,2.37,301.0
102.06792199058506,2.37,301.0
103.06859448554135,2.37,301.0
104.06926698049763,2.37,301.0
105.06993947545392,2.37,301.0
106.07061197041021,2.37,301.0
107.0712844653665,2.37,301.0
108.0719569603228,2.37,301.0
109.07262945527907,2.37,301.0
110.07330195023536,2.37,301.0
111.07397444519165,2.37,301.0
112.07464694014794,2.37,301.0
113.07531943510423,2.37,301.0
114.07599193006051,2.37,301.0
115.0766644250168,2.37,301.0
116.07733691997309,2.37,301.0
117.07800941492938,2.37,301.0
118.07868190988566,2.37,301.0
119.07935440484195,2.37,301.0
120.08002689979824,2.37,301.0
121.08069939475453,2.37,301.0
122.08137188971082,2.37,301.0
123.0820443846671,2.37,301.0
124.08271687962339,2.37,301.0
125.08338937457968,2.37,301.0
126.08406186953597,2.37,301.0
127.08473436449225,2.37,301.0
128.08540685944854,2.37,301.0
129.08607935440483,2.37,301.0
130.08675184936112,2.37,301.0
131.0874243443174,2.37,301.0
132.0880968392737,2.37,301.0
133.08876933423,2.37,301.0
134.08944182918626,2.37,301.0
135.09011432414255,2.37,301.0
136.09078681909884,2.37,301.0
137.09145931405513,2.37,301.0
138.09213180901142,2.37,301.0
139.0928043039677,2.37,301.0
140.093476798924,2.37,301.0
141.0941492938803,2.37,301.0
142.09482178883658,2.37,301.0
143.09549428379285,2.37,301.0
144.09616677874914,2.37,301.0
145.09683927370543,2.37,301.0
146.09751176866172,2.37,301.0
147.098184263618,2.37,301.0
148.0988567585743,2.37,301.0
149.0995292535306,2.37,301.0
150.10020174848688,2.37,301.0
151.10087424344317,2.37,301.0
152.10154673839943,2.37,301.0
153.10221923335573,2.37,301.0
154.10289172831202,2.37,301.0
155.1035642232683,2.37,301.0
156.1042367182246,2.37,301.0
157.1049092131809,2.37,301.0
158.10558170813718,2.37,301.0
159.10625420309347,2.37,301.0
160.10692669804976,2.37,301.0
161.10759919300602,2.37,301.0
162.10827168796231,2.37,301.0
163.1089441829186,2.37,301.0
164.1096166778749,2.37,301.0
165.1102891728312,2.37,301.0
166.11096166778748,2.37,301.0
167.11163416274377,2.37,301.0
168.11230665770006,2.37,301.0
169.11297915265635,2.37,301.0
170.11365164761264,2.37,301.0
171.1143241425689,2.37,301.0
172.1149966375252,2.37,301.0
173.1156691324815,2.37,301.0
174.11634162743778,2.37,301.0
175.11701412239407,2.37,301.0
176.11768661735036,2.37,301.0
177.11835911230665,2.37,301.0
178.11903160726294,2.37,301.0
179.11970410221923,2.37,301.0
180.1203765971755,2.37,301.0
181.12104909213178,2.37,301.0
182.12172158708808,2.37,301.0
183.12239408204437,2.37,301.0
184.12306657700066,2.37,301.0
185.12373907195695,2.37,301.0
186.12441156691324,2.37,301.0
187.12508406186953,2.37,301.0
188.12575655682582,2.37,301.0
189.12642905178208,2.37,301.0
190.12710154673837,2.37,301.0
191.12777404169466,2.37,301.0
192.12844653665096,2.37,301.0
193.12911903160725,2.37,301.0
194.12979152656354,2.37,301.0
195.13046402151983,2.37,301.0
196.13113651647612,2.37,301.0
197.1318090114324,2.37,301.0
198.13248150638867,2.37,301.0
199.13315400134496,2.37,301.0
200.13382649630125,2.37,301.0
201.13449899125754,2.37,301.0
202.13517148621384,2.37,301.0
203.13584398117013,2.37,301.0
204.13651647612642,2.37,301.0
205.1371889710827,2.37,301.0
206.137861466039,2.37,301.0
207.13853396099526,2.37,301.0
208.13920645595155,2.37,301.0
209.13987895090784,2.37,301.0
210.14055144586413,2.37,301.0
211.14122394082042,2.37,301.0
212.14189643577672,2.37,301.0
213.142568930733,2.37,301.0
214.1432414256893,2.37,301.0
215.1439139206456,2.37,301.0
216.14458641560185,2.37,301.0
217.14525891055814,2.37,301.0
218.14593140551443,2.37,301.0
219.14660390047072,2.37,301.0
220.147276395427,2.37,301.0
221.1479488903833,2.37,301.0
222.1486213853396,2.37,301.0
223.1492938802959,2.37,301.0
224.14996637525218,2.37,301.0
225.15063887020847,2.37,301.0
226.15131136516473,2.37,301.0
227.15198386012102,2.37,301.0
228.1526563550773,2.37,301.0
229.1533288500336,2.37,301.0
230.1540013449899,2.37,301.0
231.15467383994618,2.37,301.0
232.15534633490248,2.37,301.0
233.15601882985877,2.37,301.0
234.15669132481506,2.37,301.0
235.15736381977132,2.37,301.0
236.1580363147276,2.37,301.0
